"species","regime","depth","atom13C"
"Aka","N2",30,1.084
"CCA","N2",30,1.183
"Lobophora variegata","N3",30,1.198
"Dictyota pinnatifida","N3",30,1.358
"Halimeda opuntia","N3",30,"NA"
"Turfalgae","N3",30,1.277
"Red mat","N3",30,1.243
"Red hairy","N3",30,1.604
"Black balls","N3",30,1.422
"Orange mat","N3",30,1.23
"Poritis asteriodes","N3",30,1.194
"Madracis mirabilis","N3",30,"NA"
"Aka","N3",30,1.084
"CCA","N3",30,1.169
"Lobophora variegata","C",30,1.087
"Dictyota pinnatifida","C",30,1.089
"Halimeda opuntia","C",30,"NA"
"Turfalgae","C",30,1.082
"Red mat","C",30,1.091
"Red hairy","C",30,1.094
"Black balls","C",30,1.09
"Orange mat","C",30,1.094
"Poritis asteriodes","C",30,1.085
"Madracis mirabilis","C",30,"NA"
"Aka","C",30,1.083
"CCA","C",30,1.084
"Lobophora variegata","N1",30,1.259
"Dictyota pinnatifida","N1",30,1.409
"Halimeda opuntia","N1",30,"NA"
"Turfalgae","N1",30,1.392
"Red mat","N1",30,1.263
"Red hairy","N1",30,1.662
"Black balls","N1",30,1.297
"Orange mat","N1",30,1.226
"Poritis asteriodes","N1",30,1.265
"Madracis mirabilis","N1",30,"NA"
"Aka","N1",30,1.087
"CCA","N1",30,1.236
"Lobophora variegata","N2",30,1.277
"Dictyota pinnatifida","N2",30,1.441
"Halimeda opuntia","N2",30,"NA"
"Turfalgae","N2",30,"NA"
"Red mat","N2",30,1.164
"Red hairy","N2",30,1.47
"Black balls","N2",30,1.274
"Orange mat","N2",30,1.331
"Poritis asteriodes","N2",30,1.315
"Madracis mirabilis","N2",30,"NA"
"Aka","N2",30,1.084
"CCA","N2",30,1.192
"Lobophora variegata","N3",30,1.199
"Dictyota pinnatifida","N3",30,1.326
"Halimeda opuntia","N3",30,"NA"
"Turfalgae","N3",30,1.443
"Red mat","N3",30,1.2
"Red hairy","N3",30,1.936
"Black balls","N3",30,1.287
"Orange mat","N3",30,1.318
"Poritis asteriodes","N3",30,1.262
"Madracis mirabilis","N3",30,"NA"
"Aka","N3",30,1.088
"CCA","N3",30,1.216
"Lobophora variegata","C",30,1.088
"Dictyota pinnatifida","C",30,1.089
"Halimeda opuntia","C",30,"NA"
"Turfalgae","C",30,1.057
"Red mat","C",30,1.092
"Red hairy","C",30,1.087
"Black balls","C",30,1.094
"Orange mat","C",30,1.091
"Poritis asteriodes","C",30,1.084
"Madracis mirabilis","C",30,"NA"
"Aka","C",30,1.083
"CCA","C",30,1.082
"Lobophora variegata","N1",30,1.34
"Dictyota pinnatifida","N1",30,1.385
